slug,title,current_published_at,extracted_date,confidence,method,notes,date_changed
special-audit-report-government-outstanding-claims-commitments-31-december-2024-vol-1,Special audit report of the Auditor-General on Government outstanding claims and commitments as at 31 December 2024 - Vol 1,2024-12-31,2025-11-03,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
technical-forensic-audit-report-csmp-metric-app-national-service-authority,Technical and Forensic Audit Report of the Auditor-General on the CSMP & Metric App of the National Service Authority,2024-12-31,2025-10-01,medium,near_auditor_general,"Date from info page, not transmittal letter",YES
performance-audit-lifting-transporting-solid-waste-lanmma-asema-markets,Performance audit report of the Auditor-General on the lifting and transporting of solid waste at LaNMMA and ASEMA markets and their environs,2024-12-31,2023-09-08,high,before_salutation,,YES
performance-audit-computerised-financial-electronic-systems-selected-covered-entities-2024,Performance Audit Report Of The Auditor-General On Computerised Financial And Electronic Systems In Selected Covered Entities As At 31 December 2024,2024-12-31,2025-05-07,high,before_salutation,,YES
follow-up-report-three-performance-audits,Follow-Up Report Of The Auditor-General On Three Performance Audits,2024-12-31,2025-05-07,high,before_salutation,,YES
performance-audit-procurement-maintenance-medical-equipment-teaching-hospitals,Performance Audit Report Of The Auditor-General On The Procurement And Maintenance Of Medical Equipment In Teaching Hospitals,2024-12-31,2025-05-02,high,before_salutation,,YES
performance-audit-utilisation-gnpc-share-petroleum-revenue-infrastructure-projects,Performance Audit Report Of The Auditor-General On The Utilisation Of Gnpc's Share Of The Petroleum Revenue On Infrastructure Projects,2024-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
performance-audit-provision-maintenance-toilet-facilities-public-schools,Performance Audit Report Of The Auditor-General On The Provision And Maintenance Of Toilet Facilities In Public Schools,2024-12-31,2025-05-16,high,before_salutation,,YES
performance-audit-availability-accessibility-fertilisers-small-holder-farmers-ghana,Performance Audit Report Of The Auditor-General On The Availability And Accessibility Of Fertilisers To Small Holder Farmers In Ghana,2024-12-31,2025-05-16,high,before_salutation (via OCR),,YES
public-accounts-ghana-whole-of-government-accounts-2024,Report Of The Auditor-General On The Public Accounts Of Ghana (Whole-Of Government Accounts) For The Year Ended 31 December 2024,2024-12-31,2025-06-10,high,before_salutation,,YES
public-accounts-ghana-public-boards-corporations-statutory-institutions-2024,"Report Of The Auditor-General On The Public Accounts Of Ghana: Public Boards, Corporations And Other Statutory Institutions For The Period Ended 31 December 2024",2024-12-31,2024-12-31,medium,near_auditor_general,"Date from info page, not transmittal letter",no
consolidated-statements-foreign-exchange-bank-of-ghana-2024,Report Of The Auditor-General On The Consolidated Statements Of Foreign Exchange Receipts And Payments Of The Bank Of Ghana (Bog) For The Year Ended 31 December 2024,2024-12-31,2025-06-09,high,before_salutation,,YES
public-accounts-ghana-pre-university-educational-institutions-2024,"Report Of The Auditor-General On The Public Accounts Of Ghana, Pre-University Educational Institutions For The Financial Year Ended 31 December 2024",2024-12-31,2025-06-04,high,before_salutation,,YES
accounts-district-assemblies-2024,Report Of The Auditor-General On The Accounts Of District Assemblies For The Financial Year Ended 31 December 2024,2024-12-31,2025-06-02,high,before_salutation,,YES
public-accounts-ghana-public-universities-colleges-education-2024,Report Of The Auditor-General On The Public Accounts Of Ghana -- Public Universities And Colleges Of Education For The Year Ended 31 December 2024,2024-12-31,2025-06-10,high,before_salutation,,YES
management-petroleum-funds-2024,Report Of The Auditor-General On The Management Of Petroleum Funds For The Period 1 January 2024 To 31 December 2024,2024-12-31,2025-06-13,high,before_salutation,,YES
public-accounts-ghana-mdas-2024,"Report Of The Auditor-General On The Public Accounts Of Ghana -- Ministries, Departments And Other Agencies For The Year Ended 31 December 2024",2024-12-31,2025-06-10,high,before_salutation,,YES
management-utilisation-dacf-statutory-funds-2024,Report Of The Auditor-General On The Management And Utilisation Of The District Assemblies Common Fund (Dacf) And Other Statutory Funds For The Year Ended 31 December 2024,2024-12-31,2025-06-02,high,before_salutation,,YES
special-audit-recoveries-disallowed-expenditure-2020-2023-payroll-savings-2024,"Special Audit Report on the recoveries made from disallowed expenditure in the Auditor-General's reports from 2020 to 2023 and payroll savings as at 31 December, 2024",2024-12-31,2025-02-27,high,before_salutation (via OCR),,YES
foreign-exchange-bank-of-ghana-half-year-june-2024,"Report of the Auditor-General on the statement of Foreign Exchange receipts and payments of the Bank of Ghana (BOG) for the half year ended 30 June, 2024",2024-06-30,2024-12-23,high,before_salutation,,YES
follow-up-covid-19-expenditure-march-2020-june-2022,Auditor-General's follow up report on the audit of Government of Ghana Covid-19 expenditure for the period March 2020 to June 2022,2022-12-31,2020-05-06,low,first_date_found,No salutation/transmittal match; used first date found (3 dates on pages 2-5),YES
consolidated-statements-foreign-exchange-bank-of-ghana-2023,Report of the Auditor-General on the Consolidated Statements of Foreign Exchange Receipts and Payments of the Bank of Ghana (BOG) for the year ended 31 December 2023,2023-12-31,2024-06-05,high,before_salutation,,YES
performance-audit-preventing-reducing-solid-plastic-waste-coastal-environment,Performance Audit report of the Auditor-General on preventing and reducing solid and plastic waste on Ghana's coastal environment,2023-12-31,,remote,none,PDF not downloaded locally — needs manual download first,
performance-audit-disposal-plastic-waste-ghana,Performance Audit report of the Auditor-General on the disposal of plastic waste in Ghana,2023-12-31,2024-07-04,high,before_salutation,,YES
performance-audit-land-registration-ghana,Performance Audit report of the Auditor-General on land registration in Ghana,2023-12-31,2024-05-02,high,before_salutation,,YES
performance-audit-safety-inland-water-transport-volta-lake,Performance Audit report of the Auditor-General on the safety of inland water transport on the volta lake,2023-12-31,2024-06-28,high,before_salutation,,YES
performance-audit-managing-activities-undertakings-impact-environment,Performance Audit report of the Auditor-General on managing activities of undertakings that Impact the Environment,2023-12-31,2024-06-25,high,before_salutation,,YES
public-accounts-ghana-technical-universities-colleges-education-2023,Report of the Auditor-General on the public accounts of Ghana - Technical Universities and Colleges of Education for the year ended 31 December 2023,2023-12-31,2023-12-31,medium,near_auditor_general,"Date from info page, not transmittal letter",no
management-petroleum-funds-2023,Report of the Auditor-General on the management of petroleum funds for the period 1 January 2023 to 31 December 2023,2023-12-31,2024-06-24,high,before_salutation,,YES
public-accounts-ghana-public-boards-corporations-statutory-institutions-2023,"Report of the Auditor-General on the public accounts of Ghana: Public Boards, Corporations and other Statutory Institutions for the period ended 31 December 2023",2023-12-31,2024-06-01,medium,near_auditor_general_month_year,"Date from info page, not transmittal letter",YES
management-utilisation-dacf-statutory-funds-2023,Report of the Auditor-General on the Management and Utilisation of the District Assemblies Common Fund and other Statutory Funds for the year ended 31 December 2023,2023-12-31,2024-06-12,high,before_salutation,,YES
public-accounts-ghana-mdas-2023,"Report of the Auditor-General on the Public Accounts of Ghana: Ministries, Departments and Other Agencies (MDAs) for the year ended 31 December 2023",2023-12-31,2024-06-10,high,before_salutation,,YES
accounts-district-assemblies-2023,Report of the Auditor-General on the Accounts of District Assemblies for the financial year ended 31 December 2023,2023-12-31,2024-06-12,high,before_salutation,,YES
public-accounts-ghana-pre-university-educational-institutions-2023,"Report of the Auditor-General on the Public Accounts of Ghana, Pre-University Educational Institutions for the financial year ended 31 December 2023",2023-12-31,2024-06-20,high,before_salutation,,YES
information-system-audit-computerised-financial-electronic-systems-2023,Information System Audit for the Auditor-General on Computerised Financial and Electronic Systems for the period ended 31 December 2023,2023-12-31,2024-05-14,high,before_salutation,,YES
foreign-exchange-bank-of-ghana-half-year-june-2023,Report of the Auditor-General on the statement of Foreign Exchange receipts and payments of the Bank of Ghana (BOG) for the half-year ended 30 June 2023,2023-06-30,2024-01-09,high,before_salutation,,YES
performance-audit-management-ghana-school-feeding-programme,Performance Audit report of the Auditor-General on the management of the Ghana School Feeding Programme,2023-12-31,2023-09-14,high,before_salutation,,YES
performance-audit-management-fixed-assets-selected-ministries-departments,Performance Audit report of the Auditor-General on the management of fixed assets in selected Ministries and Departments,2023-12-31,2023-10-23,high,before_salutation,,YES
performance-audit-tax-administration-ghana,Performance Audit report of the Auditor-General on Tax Administration in Ghana,2023-12-31,2023-07-07,high,before_salutation,,YES
performance-audit-management-of-leap,Performance Audit report of the Auditor-General on management of LEAP,2023-12-31,2023-08-08,high,before_salutation,,YES
performance-audit-construction-cocoa-roads,Performance Audit Report of the Auditor-General on the construction of Cocoa Roads,2023-12-31,2023-06-12,high,before_salutation (via OCR),,YES
performance-audit-issuance-enforcement-building-permits-kumasi-metropolitan-assembly,Performance Audit Report of the Auditor-General on the issuance and enforcement of Building Permits by the Kumasi Metropolitan Assembly,2023-12-31,2023-06-12,high,before_salutation (via OCR),,YES
performance-audit-management-meters-electricity-company-ghana,Performance Audit Report of the Auditor-General on the management of meters by the Electricity Company of Ghana,2023-12-31,2023-06-08,high,before_salutation (via OCR),,YES
performance-audit-cleanliness-toilet-facilities-cape-coast-metropolitan-june-2023,Performance Audit Report of the Auditor-General on ensuring cleanliness of home & public toilet facilities in the Cape Coast Metropolitan Area-June 2023,2023-06-30,2023-06-14,high,before_salutation,,YES
performance-audit-management-timber-utilization-contracts-forestry-commission,Performance audit report of the Auditor-General on the Management of Timber Utilization Contracts (TUCs) by the Forestry Commission of Ghana,2023-12-31,2023-06-02,high,before_salutation (via OCR),,YES
management-utilisation-dacf-statutory-funds-2022,Report of the Auditor-General on the Management and Utilisation of the District Assemblies Common Fund and other Statutory Funds for the year ended 31 December 2022,2022-12-31,2022-12-31,medium,near_auditor_general,"Date from info page, not transmittal letter",no
information-system-audit-computerised-financial-electronic-systems-2022,Information System Audit of the Auditor-General on computerized Financial and Electronic systems of selected Public Sector Entities for the period ended 31 December 2022,2022-12-31,2023-06-20,high,before_salutation,,YES
public-accounts-ghana-mdas-2022,"Report of the Auditor-General on the Public Accounts of Ghana -- Ministries, Departments and other Agencies for the year ended 31 December 2022",2022-12-31,2022-12-31,medium,near_auditor_general,"Date from info page, not transmittal letter",no
management-petroleum-funds-2022,Report of the Auditor-General on the Management of Petroleum Funds for the period 1 January 2022 to 31 December 2022,2022-12-31,2023-06-12,high,before_salutation,,YES
